name,subscribers,views,language,tags,avg_views,estimated_earnings,engagement_rate
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
T-Series,240M,5.00,English,['Entertainment Music TV shows Movie'],7.5K,$ 13 USD,4.97%
