category_name,channel_id
Entertainment,UC-lHJZR3Gqxm24_Vd_AJ5Yw
Music,UCq-Fj5jknLsUf-MWSy4_brA
Entertainment,UCIwFjwMjI0y7PDBVEO9-bkQ
Howto & Style,UC295-Dw_tDNtZXFeAPAW6Aw
Sports,UCJ5v_MCY6GNUBTO8-D3XoAg
Sports,UCRijo3ddMTht_IHyNSNXpNQ
Music,UC0C-w0YjGpqDXGB8IHb662A
Entertainment,UCpEhnqL0y41EpW2TvWAHD7Q
Music,UCfM3zsQsOnfWNUppiycmBuw
Music,UCYvmuw-JtVrTZQ-7Y4kd63Q
Music,UCqECaJ8Gagnn7YCbPEzWH6g
Entertainment,UCcgqSM4YEo5vVQpqwN-MaNw
Entertainment,UCp0hYYBW6IMayGgR-WeoCvQ
Music,UCb2HGwORFBo94DmRx4oLzow
Music,UCANLZYMidaCbLQFWXBC95Jg
Music,UC9CoOnJkIBMdeijd9qYoT_g
Entertainment,UCBR8-60-B28hp2BmDPdntcQ
Music,UC-8Q-hLdECwQmaWNwXitYDw
Music,UC20vb-R_px4CguHzzBPhoyQ
Music,UC2xskkQVFEpLcGFnNSLQY0A
Entertainment,UCcMTZY1rFXO3Rj44D5VMyiw
Music,UCRzzwLpLiUNIs6YOPe33eMg
Entertainment,UCZkURf9tDolFOeuw_4RD7XQ
Entertainment,UCGRtuAmEObNSmlOLDWzZfVg
Entertainment,UC4PooiX37Pld1T8J5SYT-SQ
Comedy,UCi9cDo6239RAzPpBZO9y5SA
Education,UCcdwLMPsaU2ezNSJU1nFoBQ
Howto & Style,UCR4s1DE9J4DHzZYXMltSMAg
Entertainment,UCk8GzjMOrta8yxDcKfylJYw
Comedy,UCfm4y4rHF5HGrSr-qbvOwOg
Music,UC0WP5P-ufpRfjbNrmOWwLBQ
Comedy,UCPDis9pjXuqyI7RYLJ-TTSA
People & Blogs,UCpko_-a4wgz2u_DgDgd9fqA
Music,UCuHzBCaKmtaLcRAOoazhCPA
Entertainment,UC_W0_Nv-3rxpWVvosddhrPw
Music,UCcvNYxWXR_5TjVK7cSCdW-g
Music,UCyxbZF7_PK4nLiexj0kkCNg
Entertainment,UCUK0HBIBWgM2c4vsPhkYY4w
Music,UCFFbwnve3yF62-tVXkTyHqg
Education,UCbCmjCuTUZos6Inko4u57UQ
People & Blogs,UCYLNGLIzMhRTi6ZOLjAPSmw
Music,UCwppdrjsBPAZg5_cUwQjfMQ
People & Blogs,UCWwWOFsW68TqXE-HZLC3WIA
Music,UCaayLD9i5x4MmIoVZxXSv_g
Entertainment,UCjtLOfx1yt1NlnFIDyAX3Ug
Music,UC-6czyMkxDi8E8akPl0c7_w
Music,UCAvCL8hyXjSUHKEGuUPr1BA
Comedy,UCxSz6JVYmzVhtkraHWZC7HQ
Music,UComP_epzeKzvBX156r6pm1Q
Howto & Style,UC4rlAVgAK0SGk-yTfe48Qpw
Music,UCGnjeahCJW1AF34HBmQTJ-Q
Film and Animation,UC3gNmTGu-TTbFPpfSs5kNkg
Music,UC_aEa8K-EOJ3D6gOs7HcyNg
Education,UCLsooMJoIpl_7ux2jvdPB-Q
Entertainment,UCF1JIbMUs6uqoZEY1Haw0GQ
Music,UCJrDMFOdv1I2k8n9oK_V21w
Music,UC4NALVCmcmL5ntpV0thoH6w
Entertainment,UCMu5gPmKp5av0QCAajKTMhw
Music,UCrHL_BF5lHyK43BxLU8-vBQ
Film and Animation,UCRv76wLBC73jiP7LX4C3l8Q
Music,UC2pmfLm7iq6Ov1UwYrWYkZA
People & Blogs,UCcgVECVN4OKV6DH1jLkqmcA
Music,UC1SqP7_RfOC9Jf9L_GRHANg
Entertainment,UCKlhpmbHGxBE6uw9B_uLeqQ
Music,UCMJ5Qf3sOvQpcYiai1Noa3Q
Entertainment,UC_vcKmg67vjMP7ciLnSxSHQ
Music,UC65afEgL62PGFWXY7n6CUbA
Gaming,UCKqH_9mk1waLgBiL2vT5b9g
Comedy,UCY30JRSgfhYXA6i6xX1erWg
Music,UCpDJl2EmP7Oh90Vylx0dZtA
Music,UCa10nxShhzNrCE1o2ZOPztg
Music,UCbW18JZRgko_mOGm5er8Yzg
Science & Technology,UCsTcErHg8oDvUnTzoqsYeNw
Comedy,UCPDXXXJj9nax0fr0Wfc048g
Entertainment,UCa6vGFO9ty8v5KZJXQxdhaw
Gaming,UCD1Em4q90ZUK2R5HKesszJg
Entertainment,UC6-F5tO8uklgE9Zy8IvbdFw
Entertainment,UCzVIrPfZBE-XkBISBybMBLA
Music,UC4rasfm9J-X4jNl9SvXp8xA
Music,UCmv1CLT6ZcFdTJMHxaR9XeA
Gaming,UCpGdL9Sn3Q5YWUH2DVUW1Ug
Music,UCN1hnUccO4FD5WfM7ithXaw
Music,UCjK8ORC71kwyj1DWFwril_A
Music,UC56gTxNs4f9xZ7Pa2i5xNzg
Entertainment,UCaWd5_7JhbQBe4dknZhsHJg
Music,UC0VOyT2OCBKdQhF3BAbZ-1g
Comedy,UCV9_KinVpV-snHe3C3n1hvA
Music,UCJrOtniJ0-NWz37R30urifQ
Music,UC1l7wYrva1qCH-wgqcHaaRg
Entertainment,UCMNmwqCtCSpftrbvR3KkHDA
Entertainment,UCw8ZhLPdQ0u_Y-TLKd61hGA
Music,UCmBA_wu8xGg1OfOkfW13Q0Q
Music,UCM9r1xn6s30OnlJWb-jc3Sw
Music,UCweOkPb1wVVH0Q0Tlj4a5Pw
Entertainment,UC55IWqFLDH1Xp7iu1_xknRA
Music,UCVttQE6tS_agDSAU61Q65aA
Entertainment,UC6nSFpj9HTCZ5t-N3Rm3-HA
